player_name,position,nationality,club,league
Timothy Castagne,Defender,Belgium,Leicester City,premier-league
Ryan Bertrand,Defender,England,Leicester City,premier-league
James Justin,Defender,England,Leicester City,premier-league
Sam Hughes,Defender,England,Leicester City,premier-league
Jonny Evans,Defender,Northern Ireland,Leicester City,premier-league
Daniel Amartey,Defender,Ghana,Leicester City,premier-league
Jannik Vestergaard,Defender,Denmark,Leicester City,premier-league
Caglar Soyuncu,Defender,Turkey,Leicester City,premier-league
Wesley Fofana,Defender,France,Leicester City,premier-league
Eldin Jakupovic,Goalkeeper,Switzerland,Leicester City,premier-league
Kasper Schmeichel,Goalkeeper,Denmark,Leicester City,premier-league
Luke Thomas,Defender,England,Leicester City,premier-league
Marc Albrighton,Midfield,England,Leicester City,premier-league
Patson Daka,Attack,Zambia,Leicester City,premier-league
Danny Ward,Goalkeeper,Wales,Leicester City,premier-league
Dwight Gayle,Attack,England,Newcastle United,premier-league
Chris Wood,Attack,New Zealand,Newcastle United,premier-league
Callum Wilson,Attack,England,Newcastle United,premier-league
Jacob Murphy,Attack,England,Newcastle United,premier-league
Miguel Almiron,Attack,Paraguay,Newcastle United,premier-league
Jeff Hendrick,Midfield,Ireland,Newcastle United,premier-league
Matty Longstaff,Midfield,England,Newcastle United,premier-league
Ryan Fraser,Attack,Scotland,Newcastle United,premier-league
Joe Willock,Midfield,England,Newcastle United,premier-league
Isaac Hayden,Midfield,England,Newcastle United,premier-league
Javier Manquillo,Defender,Spain,Newcastle United,premier-league
Emil Krafth,Defender,Sweden,Newcastle United,premier-league
Kieran Trippier,Defender,England,Newcastle United,premier-league
Joelinton,Attack,Brazil,Newcastle United,premier-league
Matt Ritchie,Defender,Scotland,Newcastle United,premier-league
Paul Dummett,Defender,Wales,Newcastle United,premier-league
Jamal Lewis,Defender,Northern Ireland,Newcastle United,premier-league
Jonjo Shelvey,Midfield,England,Newcastle United,premier-league
Allan Saint Maximin,Attack,France,Newcastle United,premier-league
Fabian Schar,Defender,Switzerland,Newcastle United,premier-league
Ciaran Clark,Defender,Ireland,Newcastle United,premier-league
Sean Longstaff,Midfield,England,Newcastle United,premier-league
Federico Fernandez,Defender,Argentina,Newcastle United,premier-league
Bruno Guimaraes,Midfield,Brazil,Newcastle United,premier-league
Jamaal Lascelles,Defender,England,Newcastle United,premier-league
Freddie Woodman,Goalkeeper,England,Newcastle United,premier-league
Mark Gillespie,Goalkeeper,England,Newcastle United,premier-league
Dan Burn,Defender,England,Newcastle United,premier-league
Karl Darlow,Goalkeeper,England,Newcastle United,premier-league
Martin Dubravka,Goalkeeper,Slovakia,Newcastle United,premier-league
Harry Kane,Attack,England,Tottenham Hotspur,premier-league
Jack Clarke,Attack,England,Tottenham Hotspur,premier-league
Lucas Moura,Attack,Brazil,Tottenham Hotspur,premier-league
Steven Bergwijn,Attack,Netherlands,Tottenham Hotspur,premier-league
Ryan Sessegnon,Midfield,England,Tottenham Hotspur,premier-league
Rodrigo Bentancur,Midfield,Uruguay,Tottenham Hotspur,premier-league
Harry Winks,Midfield,England,Tottenham Hotspur,premier-league
Oliver Skipp,Midfield,England,Tottenham Hotspur,premier-league
Matt Doherty,Defender,Ireland,Tottenham Hotspur,premier-league
Emerson Royal,Defender,Brazil,Tottenham Hotspur,premier-league
Heung Min Son,Attack,"Korea, South",Tottenham Hotspur,premier-league
Dejan Kulusevski,Attack,Sweden,Tottenham Hotspur,premier-league
Pierre Emile Hojbjerg,Midfield,Denmark,Tottenham Hotspur,premier-league
Ben Davies,Defender,Wales,Tottenham Hotspur,premier-league
Sergio Reguilon,Defender,Spain,Tottenham Hotspur,premier-league
Cameron Carter Vickers,Defender,United States,Tottenham Hotspur,premier-league
Joe Rodon,Defender,Wales,Tottenham Hotspur,premier-league
Japhet Tanganga,Defender,England,Tottenham Hotspur,premier-league
Eric Dier,Defender,England,Tottenham Hotspur,premier-league
Brandon Austin,Goalkeeper,England,Tottenham Hotspur,premier-league
Cristian Romero,Defender,Argentina,Tottenham Hotspur,premier-league
Hugo Lloris,Goalkeeper,France,Tottenham Hotspur,premier-league
Pierluigi Gollini,Goalkeeper,Italy,Tottenham Hotspur,premier-league
Davinson Sanchez,Defender,Colombia,Tottenham Hotspur,premier-league
Michail Antonio,Attack,Jamaica,West Ham United,premier-league
Andriy Yarmolenko,Attack,Ukraine,West Ham United,premier-league
Manuel Lanzini,Attack,Argentina,West Ham United,premier-league
Said Benrahma,Attack,Algeria,West Ham United,premier-league
Nikola Vlasic,Attack,Croatia,West Ham United,premier-league
Pablo Fornals,Attack,Spain,West Ham United,premier-league
Jarrod Bowen,Attack,England,West Ham United,premier-league
Conor Coventry,Midfield,Ireland,West Ham United,premier-league
Mark Noble,Midfield,England,West Ham United,premier-league
Alex Kral,Midfield,Czech Republic,West Ham United,premier-league
Tomas Soucek,Midfield,Czech Republic,West Ham United,premier-league
Declan Rice,Midfield,England,West Ham United,premier-league
Ben Johnson,Defender,England,West Ham United,premier-league
Vladimir Coufal,Defender,Czech Republic,West Ham United,premier-league
Arthur Masuaku,Defender,DR Congo,West Ham United,premier-league
Aji Alese,Defender,England,West Ham United,premier-league
Angelo Ogbonna,Defender,Italy,West Ham United,premier-league
Kurt Zouma,Defender,France,West Ham United,premier-league
David Martin,Goalkeeper,England,West Ham United,premier-league
Darren Randolph,Goalkeeper,Ireland,West Ham United,premier-league
Lukasz Fabianski,Goalkeeper,Poland,West Ham United,premier-league
Alphonse Areola,Goalkeeper,France,West Ham United,premier-league
Craig Dawson,Defender,England,West Ham United,premier-league
Issa Diop,Defender,France,West Ham United,premier-league
Aaron Cresswell,Defender,England,West Ham United,premier-league
Ryan Fredericks,Defender,England,West Ham United,premier-league
Jeroen Zoet,Goalkeeper,Netherlands,Spezia Calcio,serie-a
David Strelec,Attack,Slovakia,Spezia Calcio,serie-a
Diego Zuppel,Attack,Italy,Spezia Calcio,serie-a
Rey Manaj,Attack,Albania,Spezia Calcio,serie-a
Eddie Salcedo,Attack,Italy,Spezia Calcio,serie-a
Mbala Nzola,Attack,Angola,Spezia Calcio,serie-a
Janis Antiste,Attack,France,Spezia Calcio,serie-a
Suf Podgoreanu,Attack,Israel,Spezia Calcio,serie-a
Kevin Agudelo,Attack,Colombia,Spezia Calcio,serie-a
Daniele Verde,Attack,Italy,Spezia Calcio,serie-a
Niccolo Pietra,Midfield,Italy,Spezia Calcio,serie-a
Viktor Kovalenko,Attack,Ukraine,Spezia Calcio,serie-a
Aimar Sher,Midfield,Sweden,Spezia Calcio,serie-a
Emmanuel Gyasi,Attack,Ghana,Spezia Calcio,serie-a
Mehdi Bourabia,Midfield,Morocco,Spezia Calcio,serie-a
Jacopo Sala,Midfield,Italy,Spezia Calcio,serie-a
Ebrima Colley,Attack,The Gambia,Spezia Calcio,serie-a
Giulio Maggiore,Midfield,Italy,Spezia Calcio,serie-a
Simone Bastoni,Midfield,Italy,Spezia Calcio,serie-a
Aurelien Nguiamba,Midfield,France,Spezia Calcio,serie-a
Leo Sena,Midfield,Brazil,Spezia Calcio,serie-a
Kelvin Amian,Defender,France,Spezia Calcio,serie-a
Salva Ferrer,Defender,Spain,Spezia Calcio,serie-a
Nicolo Bertola,Defender,Italy,Spezia Calcio,serie-a
Jakub Kiwior,Midfield,Poland,Spezia Calcio,serie-a
Dimitrios Nikolaou,Defender,Greece,Spezia Calcio,serie-a
Arkadiusz Reca,Defender,Poland,Spezia Calcio,serie-a
Petko Hristov,Defender,Bulgaria,Spezia Calcio,serie-a
Ivan Provedel,Goalkeeper,Italy,Spezia Calcio,serie-a
Petar Zovko,Goalkeeper,Bosnia-Herzegovina,Spezia Calcio,serie-a
Martin Erlic,Defender,Croatia,Spezia Calcio,serie-a
Andrea La Mantia,Attack,Italy,Fc Empoli,serie-a
Emmanuel Ekong,Attack,Sweden,Fc Empoli,serie-a
Patrick Cutrone,Attack,Italy,Fc Empoli,serie-a
Andrea Pinamonti,Attack,Italy,Fc Empoli,serie-a
Federico Di Francesco,Attack,Italy,Fc Empoli,serie-a
Valerio Verre,Attack,Italy,Fc Empoli,serie-a
Nedim Bajrami,Attack,Albania,Fc Empoli,serie-a
Marco Benassi,Midfield,Italy,Fc Empoli,serie-a
Liam Henderson,Midfield,Scotland,Fc Empoli,serie-a
Tommaso Baldanzi,Attack,Italy,Fc Empoli,serie-a
Kristjan Asllani,Midfield,Albania,Fc Empoli,serie-a
Riccardo Fiamozzi,Defender,Italy,Fc Empoli,serie-a
Petar Stojanovic,Defender,Slovenia,Fc Empoli,serie-a
Riccardo Marchizza,Defender,Italy,Fc Empoli,serie-a
Filippo Bandinelli,Midfield,Italy,Fc Empoli,serie-a
Szymon Zurkowski,Midfield,Poland,Fc Empoli,serie-a
Fabiano Parisi,Defender,Italy,Fc Empoli,serie-a
Lorenzo Tonelli,Defender,Italy,Fc Empoli,serie-a
Nicolas Haas,Midfield,Switzerland,Fc Empoli,serie-a
Leo Stulac,Midfield,Slovenia,Fc Empoli,serie-a
Samir Ujkani,Goalkeeper,Kosovo,Fc Empoli,serie-a
Mattia Viti,Defender,Italy,Fc Empoli,serie-a
Guglielmo Vicario,Goalkeeper,Italy,Fc Empoli,serie-a
Jacopo Furlan,Goalkeeper,Italy,Fc Empoli,serie-a
Sebastiano Luperto,Defender,Italy,Fc Empoli,serie-a
Liberato Cacace,Defender,New Zealand,Fc Empoli,serie-a
Simone Romagnoli,Defender,Italy,Fc Empoli,serie-a
Ardian Ismajli,Defender,Albania,Fc Empoli,serie-a
Kevin Lasagna,Attack,Italy,Hellas Verona,serie-a
Giovanni Simeone,Attack,Argentina,Hellas Verona,serie-a
Gianluca Caprari,Attack,Italy,Hellas Verona,serie-a
Daniel Bessa,Midfield,Italy,Hellas Verona,serie-a
Ivan Ilić,Midfield,Serbia,Hellas Verona,serie-a
Miguel Veloso,Midfield,Portugal,Hellas Verona,serie-a
Adrien Tameze,Midfield,Cameroon,Hellas Verona,serie-a
Fabio Depaoli,Defender,Italy,Hellas Verona,serie-a
Gianluca Frabotta,Defender,Italy,Hellas Verona,serie-a
Diego Coppola,Defender,Italy,Hellas Verona,serie-a
Panagiotis Retsos,Defender,Greece,Hellas Verona,serie-a
Darko Lazović,Midfield,Serbia,Hellas Verona,serie-a
Federico Ceccherini,Defender,Italy,Hellas Verona,serie-a
Koray Gunter,Defender,Germany,Hellas Verona,serie-a
Nicolo Casale,Defender,Italy,Hellas Verona,serie-a
Martin Hongla,Midfield,Cameroon,Hellas Verona,serie-a
Alessandro Berardi,Goalkeeper,Italy,Hellas Verona,serie-a
Ivor Pandur,Goalkeeper,Croatia,Hellas Verona,serie-a
Davide Faraoni,Defender,Italy,Hellas Verona,serie-a
Lorenzo Montipo,Goalkeeper,Italy,Hellas Verona,serie-a
Antonin Barak,Attack,Czech Republic,Hellas Verona,serie-a
Matteo Cancellieri,Attack,Italy,Hellas Verona,serie-a
Bosko Sutalo,Defender,Croatia,Hellas Verona,serie-a
Pawel Dawidowicz,Defender,Poland,Hellas Verona,serie-a
Mateusz Praszelik,Attack,Poland,Hellas Verona,serie-a
Mattia Chiesa,Goalkeeper,Italy,Hellas Verona,serie-a
Simone Zaza,Attack,Italy,Fc Turin,serie-a
Pietro Pellegri,Attack,Italy,Fc Turin,serie-a
Antonio Sanabria,Attack,Paraguay,Fc Turin,serie-a
Andrea Belotti,Attack,Italy,Fc Turin,serie-a
Simone Edera,Attack,Italy,Fc Turin,serie-a
Demba Seck,Attack,Senegal,Fc Turin,serie-a
Magnus Warming,Attack,Denmark,Fc Turin,serie-a
Marko Pjaca,Attack,Croatia,Fc Turin,serie-a
Mohamed Fares,Midfield,Algeria,Fc Turin,serie-a
Karol Linetty,Midfield,Poland,Fc Turin,serie-a
Dennis Praet,Midfield,Belgium,Fc Turin,serie-a
Sa Scaron A Lukić,Midfield,Serbia,Fc Turin,serie-a
Tommaso Pobega,Midfield,Italy,Fc Turin,serie-a
Rolando Mandragora,Midfield,Italy,Fc Turin,serie-a
Samuele Ricci,Midfield,Italy,Fc Turin,serie-a
Ola Aina,Defender,Nigeria,Fc Turin,serie-a
Mergim Vojvoda,Defender,Kosovo,Fc Turin,serie-a
Stephane Singo,Defender,Cote d'Ivoire,Fc Turin,serie-a
Cristian Ansaldi,Defender,Argentina,Fc Turin,serie-a
Armando Izzo,Defender,Italy,Fc Turin,serie-a
Koffi Djidji,Defender,Cote d'Ivoire,Fc Turin,serie-a
Alessandro Buongiorno,Defender,Italy,Fc Turin,serie-a
Bremer,Defender,Brazil,Fc Turin,serie-a
Luca Gemello,Goalkeeper,Italy,Fc Turin,serie-a
Ricardo Rodriguez,Defender,Switzerland,Fc Turin,serie-a
Vanja Milinković Savić,Goalkeeper,Serbia,Fc Turin,serie-a
David Zima,Defender,Czech Republic,Fc Turin,serie-a
Josip Brekalo,Attack,Croatia,Fc Turin,serie-a
Etrit Berisha,Goalkeeper,Albania,Fc Turin,serie-a
Fabio Quagliarella,Attack,Italy,Sampdoria Genua,serie-a
Francesco Caputo,Attack,Italy,Sampdoria Genua,serie-a
Vladyslav Supryaga,Attack,Ukraine,Sampdoria Genua,serie-a
Sebastian Giovinco,Attack,Italy,Sampdoria Genua,serie-a
Antonio Candreva,Midfield,Italy,Sampdoria Genua,serie-a
Simone Trimboli,Midfield,Italy,Sampdoria Genua,serie-a
Kristoffer Askildsen,Midfield,Norway,Sampdoria Genua,serie-a
Ronaldo Vieira,Midfield,England,Sampdoria Genua,serie-a
Stefano Sensi,Midfield,Italy,Sampdoria Genua,serie-a
Morten Thorsby,Midfield,Norway,Sampdoria Genua,serie-a
Tomas Rincon,Midfield,Venezuela,Sampdoria Genua,serie-a
Abdelhamid Sabiri,Attack,Germany,Sampdoria Genua,serie-a
Andrea Conti,Defender,Italy,Sampdoria Genua,serie-a
Bartosz Bereszynski,Defender,Poland,Sampdoria Genua,serie-a
Nicola Murru,Defender,Italy,Sampdoria Genua,serie-a
Tommaso Augello,Defender,Italy,Sampdoria Genua,serie-a
Maya Yoshida,Defender,Japan,Sampdoria Genua,serie-a
Alex Ferrari,Defender,Italy,Sampdoria Genua,serie-a
Giangiacomo Magnani,Defender,Italy,Sampdoria Genua,serie-a
Albin Ekdal,Midfield,Sweden,Sampdoria Genua,serie-a
Nicola Ravaglia,Goalkeeper,Italy,Sampdoria Genua,serie-a
Mikkel Damsgaard,Attack,Denmark,Sampdoria Genua,serie-a
Emil Audero,Goalkeeper,Italy,Sampdoria Genua,serie-a
Wladimiro Falcone,Goalkeeper,Italy,Sampdoria Genua,serie-a
Omar Colley,Defender,The Gambia,Sampdoria Genua,serie-a
Manolo Gabbiadini,Attack,Italy,Sampdoria Genua,serie-a
Luca Moro,Attack,Italy,Us Sassuolo,serie-a
Gregoire Defrel,Attack,Martinique,Us Sassuolo,serie-a
Giacomo Raspadori,Attack,Italy,Us Sassuolo,serie-a
Brian Oddei,Attack,Italy,Us Sassuolo,serie-a
Domenico Berardi,Attack,Italy,Us Sassuolo,serie-a
Riccardo Ciervo,Attack,Italy,Us Sassuolo,serie-a
Filip Djuričić,Attack,Serbia,Us Sassuolo,serie-a
Nicolas Schiappacasse,Attack,Uruguay,Us Sassuolo,serie-a
Gianluca Scamacca,Attack,Italy,Us Sassuolo,serie-a
Hamed Junior Traore,Attack,Cote d'Ivoire,Us Sassuolo,serie-a
Matheus Henrique,Midfield,Brazil,Us Sassuolo,serie-a
Abdou Harroui,Midfield,Morocco,Us Sassuolo,serie-a
Francesco Magnanelli,Midfield,Italy,Us Sassuolo,serie-a
Maxime Lopez,Midfield,France,Us Sassuolo,serie-a
Jeremy Toljan,Defender,Germany,Us Sassuolo,serie-a
Mert Muldur,Defender,Turkey,Us Sassuolo,serie-a
Federico Peluso,Defender,Italy,Us Sassuolo,serie-a
Georgios Kyriakopoulos,Defender,Greece,Us Sassuolo,serie-a
Rogerio,Defender,Brazil,Us Sassuolo,serie-a
Filippo Romagna,Defender,Italy,Us Sassuolo,serie-a
Vlad Chiriches,Defender,Romania,Us Sassuolo,serie-a
Ruan Tressoldi,Defender,Brazil,Us Sassuolo,serie-a
Kaan Ayhan,Defender,Turkey,Us Sassuolo,serie-a
Gian Marco Ferrari,Defender,Italy,Us Sassuolo,serie-a
Gianluca Pegolo,Goalkeeper,Italy,Us Sassuolo,serie-a
Giacomo Satalino,Goalkeeper,Italy,Us Sassuolo,serie-a
Andrea Consigli,Goalkeeper,Italy,Us Sassuolo,serie-a
Pedro Obiang,Midfield,Equatorial Guinea,Us Sassuolo,serie-a
Davide Frattesi,Midfield,Italy,Us Sassuolo,serie-a
Emil Konradsen Ceide,Attack,Norway,Us Sassuolo,serie-a
Ciro Immobile,Attack,Italy,Lazio Rom,serie-a
Luka Romero,Attack,Argentina,Lazio Rom,serie-a
Pedro,Attack,Spain,Lazio Rom,serie-a
Raul Moro,Attack,Spain,Lazio Rom,serie-a
Jovane Cabral,Attack,Cape Verde,Lazio Rom,serie-a
Jean Daniel Akpa Akpro,Midfield,Cote d'Ivoire,Lazio Rom,serie-a
Toma Basic,Midfield,Croatia,Lazio Rom,serie-a
Sergej Milinković Savić,Midfield,Serbia,Lazio Rom,serie-a
Patryk Dziczek,Midfield,Poland,Lazio Rom,serie-a
Danilo Cataldi,Midfield,Italy,Lazio Rom,serie-a
Lucas Leiva,Midfield,Brazil,Lazio Rom,serie-a
Adam Marusic,Defender,Montenegro,Lazio Rom,serie-a
Dimitrije Kamenovic,Defender,Serbia,Lazio Rom,serie-a
Stefan Radu,Defender,Romania,Lazio Rom,serie-a
Patric,Defender,Spain,Lazio Rom,serie-a
Luiz Felipe,Defender,Italy,Lazio Rom,serie-a
Marius Adamonis,Goalkeeper,Lithuania,Lazio Rom,serie-a
Pepe Reina,Goalkeeper,Spain,Lazio Rom,serie-a
Thomas Strakosha,Goalkeeper,Albania,Lazio Rom,serie-a
Manuel Lazzari,Defender,Italy,Lazio Rom,serie-a
Luis Alberto,Midfield,Spain,Lazio Rom,serie-a
Elseid Hysaj,Defender,Albania,Lazio Rom,serie-a
Felipe Anderson,Attack,Brazil,Lazio Rom,serie-a
Mattia Zaccagni,Attack,Italy,Lazio Rom,serie-a
Francesco Acerbi,Defender,Italy,Lazio Rom,serie-a
Luis Muriel,Attack,Colombia,Atalanta Bergamo,serie-a
Duvan Zapata,Attack,Colombia,Atalanta Bergamo,serie-a
Josip Ilicic,Attack,Slovenia,Atalanta Bergamo,serie-a
Bryan Cabezas,Attack,Ecuador,Atalanta Bergamo,serie-a
Valentin Mihaila,Attack,Romania,Atalanta Bergamo,serie-a
Jeremie Boga,Attack,Cote d'Ivoire,Atalanta Bergamo,serie-a
Matteo Pessina,Attack,Italy,Atalanta Bergamo,serie-a
Remo Freuler,Midfield,Switzerland,Atalanta Bergamo,serie-a
Marten De Roon,Midfield,Netherlands,Atalanta Bergamo,serie-a
Teun Koopmeiners,Midfield,Netherlands,Atalanta Bergamo,serie-a
Davide Zappacosta,Defender,Italy,Atalanta Bergamo,serie-a
Giuseppe Pezzella,Defender,Italy,Atalanta Bergamo,serie-a
Jose Luis Palomino,Defender,Argentina,Atalanta Bergamo,serie-a
Rafael Toloi,Defender,Italy,Atalanta Bergamo,serie-a
Giorgio Scalvini,Defender,Italy,Atalanta Bergamo,serie-a
Ruslan Malinovskyi,Attack,Ukraine,Atalanta Bergamo,serie-a
Aleksey Miranchuk,Attack,Russia,Atalanta Bergamo,serie-a
Francesco Rossi,Goalkeeper,Italy,Atalanta Bergamo,serie-a
Merih Demiral,Defender,Turkey,Atalanta Bergamo,serie-a
Berat Djimsiti,Defender,Albania,Atalanta Bergamo,serie-a
Marco Sportiello,Goalkeeper,Italy,Atalanta Bergamo,serie-a
Juan Musso,Goalkeeper,Argentina,Atalanta Bergamo,serie-a
Hans Hateboer,Defender,Netherlands,Atalanta Bergamo,serie-a
Joakim Maehle,Defender,Denmark,Atalanta Bergamo,serie-a
Mario Pasalic,Attack,Croatia,Atalanta Bergamo,serie-a
Felix Afena Gyan,Attack,Ghana,As Rom,serie-a
Eldor Shomurodov,Attack,Uzbekistan,As Rom,serie-a
Tammy Abraham,Attack,England,As Rom,serie-a
Carles Perez,Attack,Spain,As Rom,serie-a
Henrikh Mkhitaryan,Attack,Armenia,As Rom,serie-a
Nicolo Zaniolo,Attack,Italy,As Rom,serie-a
Lorenzo Pellegrini,Attack,Italy,As Rom,serie-a
Edoardo Bove,Midfield,Italy,As Rom,serie-a
Sergio Oliveira,Midfield,Portugal,As Rom,serie-a
Jordan Veretout,Midfield,France,As Rom,serie-a
Ainsley Maitland Niles,Midfield,England,As Rom,serie-a
Filippo Tripi,Midfield,Italy,As Rom,serie-a
Amadou Diawara,Midfield,Guinea,As Rom,serie-a
Bryan Cristante,Midfield,Italy,As Rom,serie-a
Davide Santon,Defender,Italy,As Rom,serie-a
Rick Karsdorp,Defender,Netherlands,As Rom,serie-a
Leonardo Spinazzola,Defender,Italy,As Rom,serie-a
Marash Kumbulla,Defender,Albania,As Rom,serie-a
Roger Ibanez,Defender,Brazil,As Rom,serie-a
Pietro Boer,Goalkeeper,Italy,As Rom,serie-a
Daniel Fuzato,Goalkeeper,Brazil,As Rom,serie-a
Nicola Zalewski,Midfield,Poland,As Rom,serie-a
Gianluca Mancini,Defender,Italy,As Rom,serie-a
Stephan El Shaarawy,Attack,Italy,As Rom,serie-a
Ebrima Darboe,Midfield,The Gambia,As Rom,serie-a
Rui Patricio,Goalkeeper,Portugal,As Rom,serie-a
Chris Smalling,Defender,England,As Rom,serie-a
Matias Vina,Defender,Uruguay,As Rom,serie-a
Ignacio Pussetto,Attack,Argentina,Udinese Calcio,serie-a
Isaac Success,Attack,Nigeria,Udinese Calcio,serie-a
Gerard Deulofeu,Attack,Spain,Udinese Calcio,serie-a
Tolgay Arslan,Midfield,Germany,Udinese Calcio,serie-a
Marco Ballarini,Midfield,Italy,Udinese Calcio,serie-a
Mato Jajalo,Midfield,Bosnia-Herzegovina,Udinese Calcio,serie-a
Walace,Midfield,Brazil,Udinese Calcio,serie-a
Jens Stryger Larsen,Defender,Denmark,Udinese Calcio,serie-a
Lazar Samardzic,Attack,Germany,Udinese Calcio,serie-a
Nahuel Molina,Defender,Argentina,Udinese Calcio,serie-a
Brandon Soppy,Defender,France,Udinese Calcio,serie-a
Marvin Zeegelaar,Defender,Netherlands,Udinese Calcio,serie-a
Destiny Udogie,Defender,Italy,Udinese Calcio,serie-a
Bram Nuytinck,Defender,Netherlands,Udinese Calcio,serie-a
Pablo Mari,Defender,Spain,Udinese Calcio,serie-a
Rodrigo Becao,Defender,Brazil,Udinese Calcio,serie-a
Nehuen Perez,Defender,Argentina,Udinese Calcio,serie-a
Beto,Attack,Portugal,Udinese Calcio,serie-a
Manuel Gasparini,Goalkeeper,Italy,Udinese Calcio,serie-a
Marco Silvestri,Goalkeeper,Italy,Udinese Calcio,serie-a
Jean Victor Makengo,Midfield,France,Udinese Calcio,serie-a
Antonio Santurro,Goalkeeper,Dominican Republic,Udinese Calcio,serie-a
Ilija Nestorovski,Attack,North Macedonia,Udinese Calcio,serie-a
Filip Benkovic,Defender,Croatia,Udinese Calcio,serie-a
Daniele Padelli,Goalkeeper,Italy,Udinese Calcio,serie-a
Roberto Pereyra,Attack,Argentina,Udinese Calcio,serie-a
Felipe Caicedo,Attack,Ecuador,Inter Mailand,serie-a
Alexis Sanchez,Attack,Chile,Inter Mailand,serie-a
Edin Dzeko,Attack,Bosnia-Herzegovina,Inter Mailand,serie-a
Lautaro Martinez,Attack,Argentina,Inter Mailand,serie-a
Joaquin Correa,Attack,Argentina,Inter Mailand,serie-a
Ivan Perisic,Midfield,Croatia,Inter Mailand,serie-a
Robin Gosens,Midfield,Germany,Inter Mailand,serie-a
Denzel Dumfries,Midfield,Netherlands,Inter Mailand,serie-a
Arturo Vidal,Midfield,Chile,Inter Mailand,serie-a
Matias Vecino,Midfield,Uruguay,Inter Mailand,serie-a
Roberto Gagliardini,Midfield,Italy,Inter Mailand,serie-a
Hakan Calhanoglu,Midfield,Turkey,Inter Mailand,serie-a
Nicolo Barella,Midfield,Italy,Inter Mailand,serie-a
Danilo Dambrosio,Defender,Italy,Inter Mailand,serie-a
Matteo Darmian,Defender,Italy,Inter Mailand,serie-a
Stefan De Vrij,Defender,Netherlands,Inter Mailand,serie-a
Alessandro Bastoni,Defender,Italy,Inter Mailand,serie-a
Alex Cordaz,Goalkeeper,Italy,Inter Mailand,serie-a
Samir Handanovic,Goalkeeper,Slovenia,Inter Mailand,serie-a
Ionut Radu,Goalkeeper,Romania,Inter Mailand,serie-a
Aleksandar Kolarov,Defender,Serbia,Inter Mailand,serie-a
Federico Dimarco,Defender,Italy,Inter Mailand,serie-a
Milan Skriniar,Defender,Slovakia,Inter Mailand,serie-a
Marcelo Brozovic,Midfield,Croatia,Inter Mailand,serie-a
Andrea Ranocchia,Defender,Italy,Inter Mailand,serie-a
Jean Pierre Nsame,Attack,Cameroon,Venezia Fc,serie-a
David Okereke,Attack,Nigeria,Venezia Fc,serie-a
Thomas Henry,Attack,France,Venezia Fc,serie-a
Nani,Attack,Portugal,Venezia Fc,serie-a
Arnor Sigurdsson,Attack,Iceland,Venezia Fc,serie-a
Mattia Aramu,Attack,Italy,Venezia Fc,serie-a
Domen Crnigoj,Midfield,Slovenia,Venezia Fc,serie-a
Tanner Tessmann,Midfield,United States,Venezia Fc,serie-a
Michael Cuisance,Midfield,France,Venezia Fc,serie-a
Gianluca Busio,Midfield,United States,Venezia Fc,serie-a
Antonio Junior Vacca,Midfield,Italy,Venezia Fc,serie-a
Luca Fiordilino,Midfield,Italy,Venezia Fc,serie-a
Dor Peretz,Midfield,Israel,Venezia Fc,serie-a
Ales Mateju,Defender,Czech Republic,Venezia Fc,serie-a
Tyronne Ebuehi,Defender,Nigeria,Venezia Fc,serie-a
Ridgeciano Haps,Defender,Suriname,Venezia Fc,serie-a
Maximilian Ullmann,Defender,Austria,Venezia Fc,serie-a
Marco Modolo,Defender,Italy,Venezia Fc,serie-a
Michael Svoboda,Defender,Austria,Venezia Fc,serie-a
Pietro Ceccaroni,Defender,Italy,Venezia Fc,serie-a
Ethan Ampadu,Defender,Wales,Venezia Fc,serie-a
Dennis Johnsen,Attack,Norway,Venezia Fc,serie-a
Filippo Neri,Goalkeeper,Italy,Venezia Fc,serie-a
Cristian Molinaro,Defender,Italy,Venezia Fc,serie-a
Luca Lezzerini,Goalkeeper,Italy,Venezia Fc,serie-a
Sergio Romero,Goalkeeper,Argentina,Venezia Fc,serie-a
Bruno Bertinato,Goalkeeper,Brazil,Venezia Fc,serie-a
Sofian Kiyine,Midfield,Morocco,Venezia Fc,serie-a
Niki Maenpaa,Goalkeeper,Finland,Venezia Fc,serie-a
Mattia Caldara,Defender,Italy,Venezia Fc,serie-a
Marko Lazetić,Attack,Serbia,Ac Mailand,serie-a
Zlatan Ibrahimovic,Attack,Sweden,Ac Mailand,serie-a
Olivier Giroud,Attack,France,Ac Mailand,serie-a
Samu Castillejo,Attack,Spain,Ac Mailand,serie-a
Alexis Saelemaekers,Attack,Belgium,Ac Mailand,serie-a
Junior Messias,Attack,Brazil,Ac Mailand,serie-a
Ante Rebic,Attack,Croatia,Ac Mailand,serie-a
Rafael Leao,Attack,Portugal,Ac Mailand,serie-a
Daniel Maldini,Attack,Italy,Ac Mailand,serie-a
Rade Krunic,Midfield,Bosnia-Herzegovina,Ac Mailand,serie-a
Franck Kessie,Midfield,Cote d'Ivoire,Ac Mailand,serie-a
Tiemoue Bakayoko,Midfield,France,Ac Mailand,serie-a
Ismael Bennacer,Midfield,Algeria,Ac Mailand,serie-a
Sandro Tonali,Midfield,Italy,Ac Mailand,serie-a
Alessandro Florenzi,Defender,Italy,Ac Mailand,serie-a
